datestamp	certsIssued	certsActive	fqdnsActive	regDomainsActive
2016-05-01	34848	1878181	NULL	NULL
2016-05-02	27757	1887993	NULL	NULL
2016-05-03	76824	1950166	NULL	NULL
2016-05-04	125537	2063235	NULL	NULL
2016-05-05	153096	2203946	NULL	NULL
2016-05-06	150690	2336559	NULL	NULL
2016-05-07	105526	2421858	NULL	NULL
2016-05-08	44562	2451891	NULL	NULL
2016-05-09	52651	2491820	NULL	NULL
2016-05-10	158435	2638811	NULL	NULL
2016-05-11	135041	2757708	NULL	NULL
2016-05-12	98371	2828905	NULL	NULL
2016-05-13	20279	2837833	NULL	NULL
2016-05-14	17081	2844151	NULL	NULL
2016-05-15	17495	2846027	NULL	NULL
2016-05-16	21180	2854638	NULL	NULL
2016-05-17	22967	2863708	NULL	NULL
2016-05-18	23055	2874185	NULL	NULL
2016-05-19	25340	2884268	NULL	NULL
2016-05-20	28639	2902384	NULL	NULL
2016-05-21	18142	2908942	NULL	NULL
2016-05-22	19074	2914066	NULL	NULL
2016-05-23	24062	2925260	NULL	NULL
2016-05-24	24913	2938139	NULL	NULL
2016-05-25	26025	2951614	NULL	NULL
2016-05-26	24324	2963047	NULL	NULL
2016-05-27	25810	2976049	NULL	NULL
2016-05-28	17269	2982991	6439318	2880516
2016-05-29	20201	2983230	NULL	NULL
2016-05-30	25938	2986389	NULL	NULL
2016-05-31	46383	3013882	NULL	NULL
2016-06-01	76049	3070742	6510647	2916569
2016-06-02	99363	3152550	NULL	NULL
2016-06-03	64027	3202448	NULL	NULL
2016-06-04	56928	3245400	NULL	NULL
2016-06-05	47302	3274439	NULL	NULL
2016-06-06	52035	3304194	NULL	NULL
2016-06-07	62963	3340060	NULL	NULL
2016-06-08	53400	3361497	NULL	NULL
2016-06-09	54311	3380874	NULL	NULL
2016-06-10	52469	3420300	NULL	NULL
2016-06-11	45571	3453949	NULL	NULL
2016-06-12	48410	3484899	NULL	NULL
2016-06-13	62263	3533207	7146991	3239585
2016-06-14	106740	3625786	NULL	NULL
2016-06-15	146169	3758333	NULL	NULL
2016-06-16	39284	3782301	NULL	NULL
2016-06-17	28356	3796198	NULL	NULL
2016-06-18	24905	3806229	NULL	NULL
2016-06-19	26939	3816059	NULL	NULL
2016-06-20	34349	3800396	NULL	NULL
2016-06-21	33610	3813849	NULL	NULL
2016-06-22	33229	3828767	NULL	NULL
2016-06-23	37884	3850318	NULL	NULL
2016-06-24	38831	3874458	NULL	NULL
2016-06-25	26827	3886973	NULL	NULL
2016-06-26	29727	3900769	NULL	NULL
2016-06-27	50656	3934276	NULL	NULL
2016-06-28	37363	3952149	NULL	NULL
2016-06-29	30759	3959624	NULL	NULL
2016-06-30	40107	3977717	NULL	NULL
2016-07-01	46301	4010891	NULL	NULL
2016-07-02	33960	4031090	NULL	NULL
2016-07-03	30102	4020211	NULL	NULL
2016-07-04	32714	4033602	NULL	NULL
2016-07-05	37710	4053115	NULL	NULL
2016-07-06	147895	4175435	NULL	NULL
2016-07-07	52345	4193818	NULL	NULL
2016-07-08	33037	4211810	NULL	NULL
2016-07-09	27567	4222559	NULL	NULL
2016-07-10	34840	4233301	NULL	NULL
2016-07-11	45309	4250053	NULL	NULL
2016-07-12	60713	4266558	NULL	NULL
2016-07-13	41027	4285148	NULL	NULL
2016-07-14	32387	4287947	NULL	NULL
2016-07-15	40738	4300489	NULL	NULL
2016-07-16	24345	4295303	7640671	3491205
2016-07-17	31122	4299363	NULL	NULL
2016-07-18	66117	4337234	NULL	NULL
2016-07-19	50002	4362331	NULL	NULL
2016-07-20	36006	4366802	NULL	NULL
2016-07-21	31447	4380453	NULL	NULL
2016-07-22	32755	4397532	NULL	NULL
2016-07-23	3674	4354553	NULL	NULL
2016-07-24	6237	4307770	NULL	NULL
2016-07-25	5156	4263889	NULL	NULL
2016-07-26	26539	4249493	NULL	NULL
2016-07-27	213226	4434773	NULL	NULL
2016-07-28	299513	4707484	7817285	3567956
2016-07-29	123170	4798295	NULL	NULL
2016-07-30	27320	4790767	NULL	NULL
2016-07-31	45821	4808831	NULL	NULL
2016-08-01	94290	4826297	NULL	NULL
2016-08-02	76638	4777398	NULL	NULL
2016-08-03	75745	4700047	NULL	NULL
2016-08-04	71448	4620805	NULL	NULL
2016-08-05	61683	4576962	NULL	NULL
2016-08-06	52643	4585043	NULL	NULL
2016-08-07	63506	4595898	NULL	NULL
2016-08-08	65004	4502467	NULL	NULL
2016-08-09	294630	4662056	NULL	NULL
2016-08-10	80686	4644371	NULL	NULL
2016-08-11	96860	4720952	NULL	NULL
2016-08-12	82734	4786605	NULL	NULL
2016-08-13	93009	4862119	NULL	NULL
2016-08-14	140757	4981696	NULL	NULL
2016-08-15	80753	5039482	NULL	NULL
2016-08-16	65976	5082403	NULL	NULL
