2016-11-15	119183	10660684	15701649	6615432
2016-11-16	211052	10774225	15965771	6717610
2016-11-17	115004	10838856	16064938	6750680
2016-11-18	120197	10916281	16165847	6787350
2016-11-19	115838	10994496	16275102	6828311
2016-11-20	88827	11038361	16329367	6847502
2016-11-21	101518	11093085	16392769	6870394
2016-11-22	105821	11147284	16476765	6903300
2016-11-23	96166	11186075	16564757	6928863
2016-11-24	104459	11243213	16650630	6950769
2016-11-25	95693	11294973	16706533	6970470
2016-11-26	120887	11374566	16761325	6990454
2016-11-27	87569	11416593	16810655	7006540
2016-11-28	111496	11463555	16848148	7019386
2016-11-29	152584	11565964	17015559	7072521
2016-11-30	227745	11727645	17131784	7112729
2016-12-01	212985	11871252	17268422	7198749
2016-12-02	548612	12370351	18014348	7593193
2016-12-03	198889	12530010	18092028	7624487
2016-12-04	156620	12640770	18142162	7642948
2016-12-05	277558	12869571	18292128	7767331
2016-12-06	251305	13072742	18466297	7890022
2016-12-07	491517	13515537	18877224	8109209
2016-12-08	608425	14078774	19136781	8279335
2016-12-09	532718	14561409	19464845	8556145
2016-12-10	1308809	15818013	19971730	9004444
2016-12-11	839763	16610117	20185322	9192045
2016-12-12	1096569	17656268	20732595	9709810
2016-12-13	1011287	18615428	21193665	10123585
2016-12-14	573862	19131218	21711514	10558289
2016-12-15	271908	19342838	21916918	10698255
2016-12-16	323546	19608506	22228662	10865575
2016-12-17	140687	19703765	22307211	10891363
2016-12-18	110855	19764615	22345624	10904559
2016-12-19	126107	19835058	22376730	10916055
2016-12-20	248487	20022843	22652570	11039794
2016-12-21	170398	20132540	22782773	11075172
2016-12-22	149368	20230345	22889254	11115500
2016-12-23	199230	20381049	23103353	11214510
2016-12-24	179857	20519762	23287090	11299853
2016-12-25	106838	20562809	23334862	11319075
2016-12-26	108938	20586425	23351896	11326382
2016-12-27	104873	20562712	23378624	11339697
2016-12-28	170363	20672078	23446880	11365403
2016-12-29	138063	20752605	23526028	11401553
2016-12-30	135552	20777286	23600797	11433416
2016-12-31	120492	20809788	23663560	11461218
2017-01-01	128353	20851913	23701817	11479516
2017-01-02	134591	20901656	23721996	11489241
2017-01-03	162300	20957130	23770413	11510624
2017-01-04	168650	21012976	23835853	11535879
2017-01-05	291033	21143483	23904932	11565137
2017-01-06	347702	21383183	24000302	11604535
2017-01-07	408021	21704725	24107768	11641755
2017-01-08	334323	21911271	24168515	11661772
2017-01-09	454936	22146980	24206022	11679400
2017-01-10	397883	22128860	24254623	11700132
2017-01-11	655433	22542429	24303417	11722094
2017-01-12	273330	22555258	24374895	11751020
2017-01-13	303660	22462403	24400022	11776582
2017-01-14	222113	21659817	24424578	11786617
2017-01-15	213579	21369060	24442667	11793955
2017-01-16	166064	20740210	24448129	11796685
2017-01-17	204519	20502007	24515908	11825531
2017-01-18	179924	20579666	24588405	11856989
2017-01-19	172040	20651187	24673381	11888647
2017-01-20	146664	20694422	24738525	11912420
2017-01-21	234451	20853995	24826679	11942778
